Time (sec)	Arena	Track	Current Speed (mm/sec)	
44.8474	1	1	6.77827
44.8809	1	1	9.20614
44.9144	1	1	6.40024
44.9479	1	1	5.21383
44.9814	1	1	10.8572
45.0149	1	1	13.1717
45.0484	1	1	14.4303
45.0819	1	1	14.4367
45.1154	1	1	14.3028
45.1489	1	1	12.8036
45.1824	1	1	8.68657
45.2158	1	1	7.81136
45.2493	1	1	7.53986
45.2828	1	1	7.20473
45.3163	1	1	7.31974
45.3498	1	1	2.51985
45.3833	1	1	2.49284
45.4168	1	1	3.17037
45.4503	1	1	3.43187
45.4838	1	1	5.524
45.5173	1	1	7.90359
45.5508	1	1	9.02805
45.5843	1	1	15.4172
45.6178	1	1	19.0226
45.6513	1	1	21.9838
45.6848	1	1	40.8037
45.7182	1	1	42.5512
45.7517	1	1	53.1322
45.7852	1	1	60.2467
45.8187	1	1	67.6946
46.0197	1	1	73.7155
46.0532	1	1	76.5311
46.0867	1	1	78.8155
46.1202	1	1	81.5294
46.1537	1	1	77.689
46.1872	1	1	76.9495
46.2206	1	1	90.208
46.2541	1	1	66.9381
46.2876	1	1	63.8523
46.3211	1	1	49.0741
46.3546	1	1	43.4178
46.3881	1	1	30.802
46.4216	1	1	23.597
46.4551	1	1	17.5033
46.4886	1	1	12.9377
46.5221	1	1	10.2725
46.5556	1	1	14.7941
